"","X","pmid","title","publicationyear","MR","surname","given_name","author_code","gender","affil_main","affil_cat","author_position","last_position","first_position","max","RCR","cit","jif"
"1",1,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"tuboi","suely h.",2719,"female","United States","High",1,0,1,10,2.09,79,3.863
"2",2,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"brinkhof","martin w. g.",1424,"male","Switzerland","High",2,0,0,10,2.09,79,3.863
"3",3,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"egger","matthias",138,"male","Switzerland","High",3,0,0,10,2.09,79,3.863
"4",4,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"stone","roslyn a.",215196,"female","United States","High",4,0,0,10,2.09,79,3.863
"5",5,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"braitstein","paula",3123,"female","Switzerland","High",5,0,0,10,2.09,79,3.863
"6",6,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"nash","denis",109195,"male","United States","High",6,0,0,10,2.09,79,3.863
"7",7,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"sprinz","eduardo",2618,"male","Brazil","Upper middle",7,0,0,10,2.09,79,3.863
"8",8,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"dabis","francois",86,"male","France","High",8,0,0,10,2.09,79,3.863
"9",9,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"harrison","lee h.",214194,"male","United States","High",9,0,0,10,2.09,79,3.863
"10",10,17460471,"Discordant responses to potent antiretroviral treatment in previously naive HIV-1-infected adults initiating treatment in resource-constrained countries: The antiretroviral therapy in low-income countries (ART-LINC) collaboration",2007,1,"schechter","mauro",2415,"male","Brazil","Upper middle",10,1,0,10,2.09,79,3.863
"11",11,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"brinkhof","martin w. g.",1424,"male","Switzerland","High",1,0,1,19,2.25,78,9.055
"12",12,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"egger","matthias",138,"male","Switzerland","High",2,0,0,19,2.25,78,9.055
"13",13,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"boulle","andrew",522,"male","South Africa","Upper middle",3,0,0,19,2.25,78,9.055
"14",14,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"may","margaret",37198,"female","United Kingdom","High",4,0,0,19,2.25,78,9.055
"15",15,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"hosseinipour","mina",35197,"female","Malawi","Lower",5,0,0,19,2.25,78,9.055
"16",16,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"sprinz","eduardo",2618,"male","Brazil","Upper middle",6,0,0,19,2.25,78,9.055
"17",17,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"braitstein","paula",3123,"female","Kenya","Lower",7,0,0,19,2.25,78,9.055
"18",18,17990236,"Tuberculosis after initiation of antiretroviral therapy in low-income and high-income countries",2007,1,"dabis","francois",86,"male","France","High",8,0,0,19,2.25,78,9.055
